Part5,Labor_Cost_USD,Part_Cost_USD,Days_To_Fail_MinZero,Miles_To_Fail,Customer_Complaint,PROBLEM,Target
57110,134.4,52.42,149,2349,"CUSTOMER STATE BRAKE PEDAL IS SINKING ALL THE WAY DOWN,VERIFIED CUSTOMER CONCERN,FOUND VACUUM BOOSTER AND BRAKE MASTER CYLINDER LEAKING,REPLACED VACUUM BOOSTER AND BRAKE MASTER CYLINDER",Unconfirmed,0
57100,337.86,566.63,35,3851,WARNING LIGHT ARE ALL ON,Unconfirmed,0
53601,463.65,688.31,19,1104,"CUSTOMER STATES NOISE IN STEERING WHEEL WHEN TURNED TO THELEFT, SOUNDS LIKE AIR",Unconfirmed,0
52611,108,92.13,24,1504,CUSTOMER STATES BRAKE PEDAL IS HARD TO PUSH IN THE MORNINGWHEN FIRST STARTING VEHICLE,Unconfirmed,0
51360,550,1026.27,1287,28710,CUSTOMER STATES: THERE IS A LOUD METALGRINDING NOISE WHEN FIRST ACCELERATING FROM A STOP.,Unconfirmed,0
46600,275.83,110.04,0,112,CHECK AND REPORT ON BRAKES NOT RELEASING,Unconfirmed,0
46600,234,217.05,4,149,PER AHM REPAIR ALL MECHANICAL BRAKE PEDAL;BOOSTER AND MASTER CYLINDER.,Unconfirmed,0
46600,160.2,247.03,58,3416,VEHICLE TOWED IN;CUST. STATES THE BRAKE LIGHTS ARE STAYINGON AND THE VEHICLE WILL NOT MOVE.,Unconfirmed,0
46468,52,135.72,54,5252,C\S BRAKE WARNING LIGHT IS ON AND BRAKE PEDAL FEELS STRANGE,Unconfirmed,0
46402,23.6,22.95,76,5402,TO COMPLETE REPAIR FOR TECHLINE REF 3980596,Confirmed,1
46402,136.8,13.96,15,692,C/S WHEN BRAKING PEDAL IS HARD,Confirmed,1
46402,29.2,13.96,355,15865,TECHLINE REF 3957321 CUSTOMER STATES THE BRAKE PEDAL FELT HARD AND HAD TO LET OF THEN PUSH AGAIN TO GET THE BRAKES TO ACTIVATE PLEASE CHECK AND REPORT.,Confirmed,1
46402,262.88,123.32,1299,29013,"CUSTOMER STATED STRANGE NOISE HEARD FROM FRONT WHEN BRAKING,  ALSO BRAKE PEDAL FELT VERY HARD",Confirmed,1
46402,29,29.6,1399,23796,BRAKE PEDAL GOT HARD AND UNABLE TO MOVE AFTER BACKING OUT OF A SPOT. REPLACE BRAKE BOOSTER CHECK VALVE.,Confirmed,1
46402,150,18.82,1381,48994,CUST STATES BRAKE PEDAL WILL NOT DEPRESS IN COLD CONDITIONIN FIRST 5 MINS OF DRIVING. AFTER 3RD DAY OF SITTING WAS  ABLE TO DUPLICATE COMPLAINT. CHECK VALVE IS FREEZING UP. INSTALLED NEW BRAKE BOOSTER HOSE AND CHECK VALVE.,Confirmed,1
46402,62.5,22.72,293,18379,"C/S WHEN BACKING OUT THEIR DRIVEWAY CAR STILL ROLLS WHEN BRAKES APPLIED FOR A FEW SECONDS, OCCURS FIRST IN THE MORNING. CHECK AND ADVISE. REF# 3947194",Confirmed,1
46402,15.1,17.89,795,18778,REPLACED VACUUN BOOSTER TUBE DUE TO EXCESIVE FORCE NEEDED TO BRAKE,Confirmed,1
46402,13.2,22.72,636,31390,CUST STATES BRAKES WOULD NOT WORK,Confirmed,1
46402,180.87,11.6,119,12308,CUSTOMER LOST ALL POWER BRAKES WHEN DRIVING & PEDAL WAS COMPLETELY STIFF HAPPENED 3 TIMES WHILE DRIVING BUT IS OK NOW,Confirmed,1
46402,71,32.04,880,36735,CUSTOMER STATES BRAKES NOT WORKING. CUSTOMER STATES BRAKEPEDAL ITSELF WILL NOT DEPRESS AND SHE ALOST HIT ANOTHER VEHICLE YESTERDAY. THIS HAS HAPPENED MULTIPLE TIMES. PLEASECHECK.,Confirmed,1
46402,20.22,40.07,1404,36023,GUEST REPORTS THAT IN THE EXTREME COLD THE VEHICLE DOES NOT STOP WELL,Confirmed,1
46402,31.44,0,74,1498,AU FREINAGE SENT PEDALE S'ENFONCER INTERMITENT                   |  |             DOIT PESER TRES FORT POUR FEINER,Confirmed,1
46402,67.5,30.84,631,36977,CLIENT STATES BRAKE PEDAL WAS VERY HARD AND CAR WOULD NOTSTOP IN COLD WEATHER CHECK AND REPORT,Confirmed,1
46402,135,30.84,672,39257,CLIENT STATES IN THE MORNING WHEN BACKING OUT OF THE GARAGE WHEN IN REVERSE AND BRAKING BRAKE PEDAL WILL GET STUCK AND NOT DEPRESS ALL THE WAY AND VEHICLE WILL STILL ROLL CLIENT HAS TO PLAY WITH THE BRAKE PEDAL TO GET VEHICEL TO FINALY COME TO A COMP,Confirmed,1
46402,105.7,20.81,898,22016,PEDAL IS HARD TO PUSH. FOUND VACCUM BOOSTER TUBE CHECK VALVE WAS STICKING. REPLACED TUBE,Confirmed,1
46402,61,12.7,604,12108,VEHICLE DOESN`T STOP IN THE MORNING ON THE FIRST BRAKE(MORNING START AND BRAKE) C/S THE ITS NOT SOFT OR HARD FEELS LIKE THERE IS SOMETHING STUCK AND THERE IS A VIBRATING NOISE .,Confirmed,1
46402,50.97,38.65,1329,28279,"BRAKE PEDAL WENT HARD AND BRAKES WERE NOT RESPONDING, GOT BETTER AFTER VEHICLE WARMED UP",Confirmed,1
46402,26.6,30.84,662,14494,CUSTOMER STATES AFTER SITTING OVER NIGHT AND BELOW 20 DEGBRAKE PEDAL IS STIFF WHEN SHARTED COLD AND AT LEAST 15 MINUTES AFTER STARTED CANT DEPRESS PEDAL OR STOP. MAY BE BETTER AFTER TURNING OFF CAR AND RESTARTING OR AFTER RUNNING,Confirmed,1
46402,24,30.84,609,18812,CUSTOMER STATES THE VEHICLE WOULD NOT STOP WHEN THE BRAKESWERE APPLIED WHILE BACKING OUT OF THE DRIVEWAY AND ALSO WHEN MAKING THE FIRST FEW STOPS GOING FORWARD -,Confirmed,1
46402,27,18.15,556,16238,"CUSTOMER STATES BRAKES RESISTING WHEN APPLYING WHEN CAR ISCOLD HAS HAPPENED 3 TIMES, FOR CUST SATISFACTION AND ENSURE BRAKE ASSIST OPERATES AS DESIGNED DPSM AUTH REPLACEMENT OF BRAKE BOOSTER HOSE",Confirmed,1
46402,85.5,13.94,261,11015,"CK FOR BRAKE PEDAL  WAS ROCK HARD, WOULD NOT PUSH AND COULD NOT STOP VEHICLE. 3 TIMES. VERIFY ON COLD START TEST DRIVE. CK ALL BRAKES, MASTER CYL, FLUID.ALL GOOD. TRACE TO BAD CHECK VALVE IN VAC. BOOSTER TUBE.S/O AND REPL. VAC. BOOSTER TUBE. GOOD NOW",Confirmed,1
46402,28.1,17.15,576,13246,CHECK BRAKE PEDAL STIFF IN COLD TEMPERATURE,Confirmed,1
46402,49.98,12.7,279,16922,BRAKES - INSPECT / CUST STATES BRAKE PEDAL GETS HARD AT TIMES -- WONTSTOP,Confirmed,1
46402,156,30.84,234,6382,CLIENT STATES SOMETIMES WHEN BRAKING; BRAKE PEDAL WILL NOTDEPRESS AND EMERGENCY BRAKE NEEDS TO BE USED TO STOP; PLEASE CHCK AND REPORT.,Confirmed,1
46402,19.26,11.57,34,933,DIFFICULT TIME STOPPING/BRAKING,Confirmed,1
46402,124.5,16.57,176,4756,"REPAIR WHEN CAR IS STARTED COLD BRAKE PEDAL WAS VERY HARD AND CAR WOULD NOT STOP SCN FOR DTC NO CODE, ROAD TEST REPLACE DEFECTIVE MASTER CYLINDER TUBE",Confirmed,1
46402,22,20.61,699,13792,BRAKE PEDAL IS VERY HARD IN AM,Confirmed,1
46402,19,17.57,187,5391,C/S CAR IS HARD TO STOP. PEDAL IS HARD TO PRESS. CHECK ANDADVISE.,Confirmed,1
46402,12,16.13,212,6271,CLIENT STATES THE VEH HAS A STIFF BRAKE PEDAL ON STARTUP AND INTERMITTENTLY WHILE DRIVING. TECH VERIFIED CONCERN ANDREPLACED THE VACUUM BOOSTER TUBE PER TECH LINE REF# 35252289,Confirmed,1
46402,19.6,20.07,183,4608,CUST STATES BRAKE PEDAL FEELS HARD. CALLED TECH LINE & REPL BOTH VACUUM BOOSTER & TUBE,Confirmed,1
46402,23,19.54,40,1856,HAVE TO PRESS HARD ON BRAKE PEDAL,Confirmed,1
46402,17.21,9.71,1455,46544,HAUSE DEFECT VACCUUM LIQUIDE FREIN DEFORME,Possible,1
46402,23,22.24,687,19632,CUSTOMER STATES BRAKES FEEL TIGHT,Possible,1
46402,17.97,9.63,503,26632,CUSTOMER STATES THAT BRAKES IS STIFF,Possible,1
46402,25,29.6,654,21746,CUSTOMER STATES BRAKE PEDAL IS VERY HARD. BRAKE BOOSTER VACUUM HOSE ONE WAY CHECK VALVE FREEZING AND STICKING CAUSING HARD BRAKE PEDAL. REPLACED HOSE ASSEMBLY,Possible,1
46402,24,32.04,998,18185,"CUSTOMER STATES, CUSTOMER PICKED UP CAR ON FRIDAY STILL HAV ING A PROBLEM WITH BRAKES WHEN CAR IS COLD BRAKE PEDAL IS VERY HARD",Possible,1
46402,19.46,23.98,268,18490,DIAGNOSTIC FREINS PEDAL DE FREIN SEMBLE GELER DEVIEN TRES DURE A VOIR P/R,Possible,1
46402,24,13.2,1636,41850,BRAKE CONCERN BRAKE THE BRAKE PEDAL FEELS STIFF,Possible,1
46402,27,21.59,729,15662,REPAIR BRAKE PEDAL IS REAL HARD WHEN CAR IS COLD REPLACE DEFECTIVE BRAKE VACUUM BRAKE MASTER TUBE,Possible,1
46402,27.41,13.48,253,11368,CHECK AND REPORT ON BRAKE PEDAL STIFF WHEN APPLYING FIRST THING IN THE MORNING,Possible,1
46402,11.8,22.72,57,1381,"CUST STATES BRAKE PEDAL HARD ON FIRST APPLICATION, *SOP* BRAKE BOOSTER CHECK VALVE PER TECH LINE",Possible,1
46402,274.55,15.57,454,17375,BRAKE PEDAL HAR TO DEPRESS IN COLD WEATHER,Possible,1
46402,18.86,9.84,1029,15788,LA P DALE DE FREIN FORCE VERRE LE HAUT QUAND LA CLIENTE L ENFONCE POUR CHANGER DU   P   AU   D  . ELLE DOIT REPLACER LE BRAS DE VITESSE SUR LE   P   ET LE REPLACER VERRE LE   D  . LA P DALE DE FREIN EST DURE   ENFONCER DEPUIS SE TEMPS AUSSI.,Possible,1
46402,13.5,17.89,1096,35733,CUSTOMER STATES AT TIMES MORE WHEN IT IS COLD OUT THE BRAKE PEDAL IS REALLY HARD. SOP HERE,Possible,1
46402,83.07,9.85,271,9790,CUSTOMER CLAIMED THAT WHEN APPLYING BRAKES IN THE MORNING - PEDAL EXTREMELY HARD TO PRESS DOWN,Possible,1
46402,27.48,14.47,1062,35427,P�DALE DE FREINS DUR INTERMITTENT PAR TEMPS FROID,Possible,1
46402,35.37,18.15,868,29293,CUSTOMER STATES BRAKES ARE STIFF FIRST THING IN THE AM,Possible,1
46402,91,30.84,614,21670,CUSTOMER STATES VEHICLES POWER BRAKE SYSTEM WOULD NOR OPERATE UNTILL VEHICLE WARMED UP. (YESTERDAY) CHECK AND ADVISE///REMOVED AND REPLACED VACUUM BOOSTER TUBE,Possible,1
46402,15.1,17.22,211,10143,REPLACED FAILED BRAKE BOOSTER HOSE,Possible,1
46402,62.5,30.84,642,24018,C/S BRAKES FAIL IN COLD WEATHER,Possible,1
46402,26,30.84,619,33879,BRAKE PEDAL IS VERY STIFF IN COLD WEATHER,Possible,1
46402,51,12.7,431,10505,CUSTOMER STATES ABOUT A WEEK AGO THE BRAKE PEDAL STARTED FEELING LIKE THERE WAS EXCESSIVE RESISTANCE IN THE FIRST PORTION OF THE PEDAL`S TRAVEL. AFTER IT HAS BEEN PUSHED DOWNA LITTLE IT FEELS NORMAL. BRAKES SEEM TO STOP OKAY.,Possible,1
46402,175.5,21.4,322,16729,CUSTOMER STATES WHEN APPLYING BRAKES IT TAKES A DIFFERENTAMOUNT OF PRESSURE TO GET THE SAME AMOUNT OF BRAKE FORCE,Possible,1
46402,52.5,12.7,553,10564,C/S BRAKES DONT SEEM TO BE WORKING PROPERLY OR STOPPING LIKE THEY SHOULD. PLEASE C&A,Possible,1
46402,117,0,1035,26464,0 CUSTOMER STATES BRAKES ARE HARD TO PRESS AND ARE VERY SQUEAKY. VSA AND BRAKE LIGHT ON.FOUND CODE 86.RESET PCM AND CK FOR LOOSE CONN TO HYDRAULIC BOOSTER. ROAD TEST OK AT THIS TIME,Possible,1
46402,21,21.87,0,131,CUSTOMER STATES AFTER CAR SITS BRAKE PEDAL IS HARD TO PRESS CHECK AND ADVISE.,Possible,1
46402,17.64,40.64,180,1553,"REPLACE BRAKE BOOSTER CHECK VALVE AND HOSES, BRAKESARE STIC KING ON HARD AT TIMES",Possible,1
46402,8.66,15.88,399,22089,"BRAKE PEDAL SOLID, NO MOVEMENT",Possible,1
46402,67.38,9.82,504,15260,HARD OR STIFF BRAKE PEDAL ON EXTREME COLD DAYS,Possible,1
46402,36.88,40.88,614,19908,PEDALE FREIN TRES DUR A FROID,Possible,1
46402,17.64,40.88,854,23260,VEHICLE HAS TROUBLE BRAKING WHEN IT IS REALLY COLDOUTSIDE POSSIBLE BRAKE BOOSTER VALVE HOSE,Possible,1
46402,133.9,21.41,669,27880,CUST STATES BRAKE PEDAL IS STIFF,Possible,1
46402,80.65,16.13,306,5089,BRAKE PEDAL VERY HARD WHEN FIRST STARTING OUT WHEN COLD,Possible,1
46402,16.81,10.06,599,13363,CHECK BRAKE PEDAL VERY HARD IN THE MORNING ON FIRST DRIVE,Possible,1
46402,20,13.94,209,10333,BRAKES STICKS WHEN TRYING TO STOP,Possible,1
46402,225.75,41.51,636,22831,CLIENT ME DIT QUE DEPUIS QUI EST SORTI DU GARAGE ICI LORS DE LA DERNIERE VISITE A FROID LE MATIN LA PEDAL A FREIN DEVIEN TRES DURE ET PEDAL VA AU FOND AVOIR QUAND IL RECHAUFFE SA VA BIEN MAIS SINON VEHICULE DANGEREUX,Possible,1
46402,30.78,15.44,581,9199,CLIENT ME DIT QUE LA PEDAL DE FREIN EST DEVENU TRESDURE IL ETAIT PAS CAPABLE DE FREINER IL A APPLIQUER LE FREIN A MAIN LUMIERE AIR BAG A ALLUMER MAIS SEMBLE DISPARUE,Possible,1
46402,12.5,16.57,204,11524,"CUSTOMER STATES THAT THE BRAKES INTERMITTENTLY FEEL LIKE TH EY ARE NOT ENGAGING. THE BRAKE PEDAL WILL FEEL VERY STIFF, UNTIL THE PEDAL IS RELEASED. DIAG AS FAULTY BRAKE BOOSTER VALVE. RPLCD BRAKE BOOSTER VALVE",Possible,1
46402,144,12.22,156,4838,CUSTOMER STAES ON 3 OCCASIONS IN PAST WEEK BRAKE PEDAL WILL NOT DEPRESS;STAYS HARD;INSPECT/ADVISE. TECH CASE 33648680,Possible,1
46402,32.94,12.45,392,10788,LA PEDALE DE FREINS TROP AU DEMMARAGE,Possible,1
46402,1085.62,12.07,353,9332,"PAR TEMPS FROID, QUAND IL Y A UNE PETITE NEIGE LA PEDALE DE FREIND EST DEVENU TOUTE DUR, PAS CAPABLE D'APPUIYER ET IL N'Y A PRATIQUEMENT PLUS DE FREIND.AUCUNE POSSIBILITE DE FREINAGE. CLIENTE DIT QU'ELLEA EU UN ACCIDENT FAIRE ESSAI ROUTIER",Possible,1
46402,33.39,18.07,154,7022,VERIFIER LA PEDAL DE FFREIN TRES TRES DIFFICILE A ACCIONNE PAR TEMPS FROID,Possible,1
46402,100.18,46.51,315,12633,"CLIENT MENTIONNE QUE LE MATIN A FROID CLIENT TROUVEQUE LA PEDALE A FREIN EST TRES DURE A MANOEUVRER.DOIT SE PRENDRE A PLUSIEURS REPRISE ET A 2 PIED POUR FAIRE ARRETER LE VEHICU . MEME QUE LE VEHICULE SOIS RECHAUFFER, IL LE FAIT EGALEMENT CEST APRES PLUS",Possible,1
46402,127.69,12.07,524,13957,QUAND FAIT TRES FROID PEDALE DE FREIN EST TRES DURE. PAS CAPABLE DE PESER DESSUS,Possible,1
46402,91.21,12.07,145,1234,VEHICULE NE FREINE PAS EN PESANT SUR LA PEDALE DE FREINS.,Possible,1
46402,19,20.5,121,3315,C/S BRAKE PEDAL GETS HARDS AT START UP. PLEASE CHECK AND ADVISE,Possible,1
46402,22,28.9,218,3699,C/S BRAKE PEDAL IS HARD BRAKE BOOSTER VALVE STICKING REPL CHECK VALVE,Possible,1
46402,20.6,20.07,267,5810,INSPECT FRONT & REAR BRAKE SYSTEMS (CUSTOMER STATES ON SUNDAY BRAKE PEDAL WAS EXTREMELY DIFFICULT TO DEPRESS... WHENBRAKE PEDAL WAS FINALLY ABLE TO BE DEPRESSED CUSTOMER HEARD A CLICKING NOISE) SINCE SUNDAY PROBLEM HAS NOT HAPPENED,Possible,1
46402,35.1,16.13,17,898,C/S IN THE MORNING BRAKE IS VERY HARD TO BRAKE,Possible,1
46402,126,65.62,4,201,CUST STATES CAR PARKED ENGINE OFF FOR ABOUT 30MINUTES BRAKE PWEDAL BECOMES HARD,Possible,1
46402,142,19.72,117,4015,INSPECT FOR BRAKE PEDAL WAS VERY VERY HARD TO PRESS THIS MORNING AFTER VEHICLE SAT ALL NIGHT,Possible,1
46402,19,16.66,0,1,BRAKE PEDAL REQUIRES TOO MUCH EFFORT TO APPLY BRAKES,Possible,1
46402,12.5,22.95,372,11368,INSTALL SOP BRAKE BOOSTER,Unconfirmed,0
46402,20,22.46,281,11770,VACUUM BOOSTER TUBE - REPLACE,Unconfirmed,0
46402,80.89,0,0,16,CHECK FOR NOT BEING ABLE TO SHIFT INTO 2ND GEAR SEEMS LIKE IT IS BINDING,Unconfirmed,0
46402,9.9,18.07,438,15860,C/S FEELS REALLY HAVE TO PRESS THE PEDDLE TO ENGAGE THE STARTER; FOUND CHECK VALVE LEAKS OUT SLOWLY. R&R MASTER POWER TUBE,Unconfirmed,0
46402,28.36,22.46,604,6539,CUSTOMER STATES THE BRAKE PEDAL FEELS SOFT AT TIMES WHEN BRAKING SOP IN,Unconfirmed,0
46402,36,18.07,1458,44698,ELECTRICAL WON T STARTED  BRAKE PEDAL WAS REALLY HARD ANDWOU LDN T HER START  STEERING LOCKED UP  BUTTON LOCKED UPTHURSDAY FIRST TIME IT HAPPENED  FINALLY GOT IT TO WORK AND EVERYTHING SEEMED GOOD,Unconfirmed,0
46402,100.8,0,13,1686,CUSTOMER REPORTS A PROBLEM WITH THE IDLE STOP AND THAT A WRN MESSAGE WILL COME ON AT THE FIRST STOP AND GOES OFF BUTCOMES BACK ON AGAIN EACH TIME IT IS SUPPOSE TO ACTIVATE.TEST DROVE PULLED DTC P15C7 BRAKE BOOSTER SENSOR FOUND CAUSETO BE A DISCONNE,Unconfirmed,0
46402,12.15,18.07,115,945,INSTALL BRAKE BOOSTER HOSE WITH CHECK VALVE,Unconfirmed,0
46402,20.4,15,608,14815,"CUSTOMER STATES WHEN TRYING TO START VEHICLE AFTER SITTINGOVER NIGHT. THE BRAKE PEDAL IS VERY STIFF, NO MOVEMENT. WHICH CAUSES THE VEHICLE NOT BE ABLE TO START. IT HAS HAPPENED 2 TIMES, AND WHEN IT HAS HAPPENED THE PUMPED THE BRAKEPEDAL.",Unconfirmed,0
46402,105,0,0,10,CLIENT STATES WHILE DRIVING IDLE ENGINE STOP MALFUNCTION LIGHT CAME ON. PLEASE CHECK AND ADVISE,Unconfirmed,0
46402,13.5,18.07,124,3453,CUSTOMER STATES THAT WHEN GOING TO START THE VEHICLE THE BRAKE PEDAL IS VERY HARD TO DEPRESS TO GET STARTED (PUSH START). ONCE THE VEHICLE IS RUNNING THE PEDAL FEELS FINE. PLEASE CHECK AND ADVISE.,Unconfirmed,0
46402,32.62,0,62,1050,CUSTOMER STATES AUTO ENGINE STOP ERROR MESSAGE COMING ON .VEH NEVER GOES INTO AUTO STOP .,Unconfirmed,0
46402,159.71,11.83,193,4609,V�HICULE NE D�MARRE PAS,Unconfirmed,0
46402,29,22.95,535,17524,WHEN COLD OUT THE  PUT FOOT ON BRAKE MESSAGE COMES ON MID WHEN FOOT IS ON BRAKE. CHECK VALVE HOSE FAILURE. REPLACE CHECK VALVE HOSE TO BRAKE BOOSTER.,Unconfirmed,0
46402,49.6,0,660,20649,CHECK VACUUM INOP,Unconfirmed,0
46402,102,0,25,1513,"AUTO ENGINE IDLE STOP SYSTEM PROBLEM INDICATOR COMES ON PERIODICALLY WHILE DRIVING, SPEED DOESNT MATTER, RATHER JUSTA TIMELY THING, DRIVE UNTIL IT OCCURS. COMES ON AND STAYSON. CHECK AND ADVISE",Unconfirmed,0
46402,23,18.07,16,231,TECHLINE# 3988561---CUSTOMER STATES CAR DOES NOT START WITH PUSH TO START.. CUSTOMER STATES WHEN FOOT IS APPLIED TO BRAKE STILL SHOWINGMESSAGE TO HOLD FOOT OON BRAKE. ONLY HAPPENS IN THE MORNING.,Unconfirmed,0
46402,94.4,0,15,1474,"CUSTOMER STATES AUTO ENGINE IDLE STOP SYSTEM PROBLEM LIGHTCOMES ON WHEN DRIVING OVER 60MPH. PULLED CODES, FOUND AUT O IDLE STEP INOPERATIVE DUE TO VACUUM LINE FOR BRAKE PRESSSENSOR NOT CONNECTED. RESECURED VACUUM HOSE",Unconfirmed,0
46402,49.5,15,122,3212,CUST STATES VEHICLE HAS HARD TIME STARTING AND BRAKE IS HARD TO PUSH.,Unconfirmed,0
46402,23,12.34,119,7997,CUSTOMER STATES INSTALL POWER BRAKE BOOSTER LINE SOP PART,Unconfirmed,0
46402,50,0,122,5070,CUSTOMER STATES THE CAR DOES NOT BRAKE VERY GOOD. SHE FEELS SHE NEEDS TO PRESS ON THE PEDAL HARDER THEN NORMAL TO STOP THE CAR.,Unconfirmed,0
46402,159.6,0,262,17216,C/S VEHICLE TRACTION LIGHT IS ON,Unconfirmed,0
46402,19.8,25.69,242,6231,WHISTLE NOISE WHEN BRAKING.,Unconfirmed,0
46402,103,18.07,336,6831,"CUSTOMER STATES VEHICLE WONT CRANK AT TIMES, VERIFIED. SUSPECT BRAKE BOOSTER SUPPLY LINE BLEED DOWN",Unconfirmed,0
46402,112.5,0,202,2439,CUSTOMER STATES BRAKE WARNING LIGHTS CAME ON WHILE DRIVING,Unconfirmed,0
46402,62,14.1,743,15393,CUSTOMER STATES CHECK ENGINE LIGHT IS ON P0171,Unconfirmed,0
46402,25,12.34,448,9885,C/S: MASTER CYLINDER WAS REPLACED ON LAST VISIT AND NOW WHEN HE LEAVES THE CAR SITTING FOR MORE THEN 8 HOURS; THE BRAKES ARE ROCK HARD WHEN STARTING THE VEHICLE. YOU HAVE TOAPPLY ALOT OF PRESSURE WHEN STARTING THE VEHICLE,Unconfirmed,0
46402,13.5,18.07,1099,18684,CUSTOMER STATES THEY CANT ALWAYS GET THE CAR TO START. PLEASE SEE HISTORY. WE HAVE NOT BEEN ABLE TO DUPLICATE THE ISSUE FOR THE CUSTOMER. WHEN THE TOW TRUCK DRIVER GETS THEREOR AN ACURA EMPLOYEE; IT STARTS RIGHT UP. BRAKE WAS VERYSTIFF THOUGH. PLEASE,Unconfirmed,0
46402,24,22.95,392,8513,MISC SERVICES CHECK THE CAR FOR BRAKE PEDAL IS HARD TO PRESS WHE N STARTING THE CAR,Unconfirmed,0
46402,110,0,321,10417,CUSTOMER STATES THAT THERE IS A RATTLE WHEN IN DRIVE AT IDLE CENTER OF DASH,Unconfirmed,0
46402,11.5,18.07,33,1438,CS AT LEAST 6 TIMES THE VEHICLE IS NOT RECOGNIZING THE KEYFOB TO START IT. WHEN THIS HAPPENS THE BRAKEPEDAL IS FULL PRESSED AND CUSTOMER HAS TO GET OUT OF VEHICLE LOCK UNLOC K THEN START THE CAR.  FOND FAULTY VACUUM BOOSTER AND MASTER POWER TUBE. REP,Unconfirmed,0
46402,39,18.92,1129,24250,CLIENT STATES HIGH PITCHED SQUEAL NOISE FROM DASH WHEN BRAKING AND WHEN VEHICLE IS FIRST USED FOR THE DAY,Unconfirmed,0
46402,11.5,22.72,338,14556,CUSTOMER STATES BRAKE PEDAL VERY STIFF WHEN SITS OVERNIGHTPLEASE CHECK AND ADVISE,Unconfirmed,0
46402,184,76.94,11,878,C/S BRAKE PEDAL WILL NOT HOLD VACCUM OVER NIGHT.C/S PEDAL IS EXTREMLY HARD TO PUSH IN.  CUST. CAME IN WITH A HARD/STIFF BRAKE PEDAL AT 1ST START OF THE DAY.CAR LEFT OVERNIGHT& CONCERN WAS CONFIRMED.  REPLACED LEAKING BRAKE CHECK VA LVE&BRAKE BOOSTER,Unconfirmed,0
46402,29,48.12,486,22157,C/S THEY ARE STILL HAVING ISSUES W/ ACURALINK ALERTING OF *BRAKE SYSTEM BOOST ISSUE 77-13. FOUND BRAKE BOOSTER SYSTEM FAILURE. REPLACED VACUUM BOOSTER TUBE AND BRAKE MASTER CYLINDER POWER PRESSURE SENSOR.,Unconfirmed,0
46402,96.39,90.22,1503,24448,CUSTOMER STATES BRAKE PEDAL GOES TO FLOOR WHEN DEPRESSED,Unconfirmed,0
46402,18.79,23.98,855,23327,STIFF BRAKE PEDAL WHEN FIRST STARTING VEHICLE,Unconfirmed,0
46402,56.38,15.57,21,553,STIFF BRAKE PEDAL WHEN STARTING VEHICLE,Unconfirmed,0
