Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,BedroomAbvGr,FullBath,OverallQual,HeatingQC,SalePrice
NWAmes,Plywood,1977,,1610,480,3,2,6,Gd,205000
SawyerW,HdBoard,1985,77.0,1732,476,3,2,6,TA,178000
SawyerW,HdBoard,1979,64.0,1535,410,4,2,5,TA,118964
CollgCr,VinylSd,2009,94.0,1226,740,3,2,7,Ex,198900
IDOTRR,Stucco,1931,,1818,240,4,1,7,Ex,169500
Somerst,VinylSd,2003,75.0,1992,648,3,2,8,Ex,250000
OldTown,VinylSd,1885,60.0,1047,273,2,1,4,Gd,100000
OldTown,VinylSd,1948,50.0,789,250,2,1,5,Ex,115000
IDOTRR,CemntBd,1919,85.0,1517,0,3,2,5,TA,115000
NWAmes,Plywood,1977,105.0,1844,546,3,2,6,Ex,190000
Edwards,Wd Sdng,1954,75.0,1855,325,4,2,6,Gd,136900
Gilbert,VinylSd,2000,,1430,400,3,2,7,Ex,180000
CollgCr,VinylSd,2007,77.0,2696,792,4,2,7,Ex,383970
Crawfor,Wd Sdng,1953,,2259,450,3,2,6,TA,217000
Crawfor,Wd Sdng,1945,61.0,2320,180,3,2,6,Ex,259500
Somerst,MetalSd,1999,34.0,1458,440,2,2,6,Gd,176000
Sawyer,Wd Sdng,1962,,1092,288,3,1,5,TA,139000
Edwards,VinylSd,2006,74.0,1125,430,2,1,5,Gd,155000
SawyerW,Plywood,1990,90.0,3222,594,5,3,7,Gd,320000
CollgCr,VinylSd,2005,65.0,1456,390,3,2,6,Ex,163990
ClearCr,Plywood,1969,,988,540,1,1,6,Ex,180000
IDOTRR,AsbShng,1939,50.0,1123,264,3,1,4,Gd,100000
NAmes,MetalSd,1958,75.0,1080,288,3,1,6,Gd,136000
SawyerW,Plywood,1993,55.0,1199,530,2,2,6,Ex,153900
NWAmes,HdBoard,1979,48.0,1586,435,3,2,6,TA,181000
IDOTRR,Wd Sdng,1935,60.0,754,0,2,1,6,Gd,84500
NPkVill,Plywood,1976,,958,440,2,2,6,TA,128000
OldTown,WdShing,1930,55.0,840,0,3,1,5,Ex,87000
NAmes,VinylSd,1966,69.0,1348,453,3,1,6,TA,155000
NAmes,Plywood,1958,69.0,1053,750,3,1,5,TA,150000
NAmes,MetalSd,1966,88.0,2157,487,4,2,7,Ex,226000
Gilbert,VinylSd,2000,,2054,390,3,2,6,Ex,244000
NAmes,MetalSd,1959,75.0,1327,624,3,1,5,Gd,150750
Timber,VinylSd,2001,,1296,471,2,2,8,Ex,220000
Sawyer,Plywood,1968,78.0,1721,440,3,2,5,Gd,180000
NWAmes,Plywood,1970,80.0,1682,530,3,2,7,Gd,174000
NAmes,MetalSd,1967,,1214,318,3,2,5,TA,143000
Mitchel,VinylSd,1988,82.0,1959,766,5,3,7,Gd,171000
CollgCr,VinylSd,1999,73.0,1852,660,3,2,8,Ex,230000
CollgCr,VinylSd,1997,65.0,1764,470,3,2,6,Ex,231500
NAmes,HdBoard,1971,70.0,864,0,3,1,4,TA,115000
CollgCr,VinylSd,2005,78.0,1734,660,3,2,7,Ex,260000
NAmes,BrkFace,1952,71.0,1385,720,4,2,5,Fa,166000
CollgCr,VinylSd,1999,78.0,1501,577,3,2,7,Ex,204000
Sawyer,HdBoard,1963,70.0,1728,504,6,2,5,TA,125000
Edwards,VinylSd,2004,24.0,1709,380,3,2,6,Ex,130000
BrkSide,Wd Sdng,1931,51.0,875,180,2,1,5,TA,105000
Gilbert,VinylSd,2001,,2035,434,3,2,7,Ex,222500
SawyerW,VinylSd,2004,63.0,1080,0,3,1,7,Ex,141000
BrkSide,MetalSd,1936,,1344,240,3,1,5,Gd,115000
CollgCr,HdBoard,1975,120.0,969,440,3,1,5,TA,122000
NridgHt,VinylSd,2007,107.0,1710,866,2,2,8,Ex,372402
NWAmes,HdBoard,1971,,1993,495,4,2,6,Gd,190000
ClearCr,BrkFace,1960,,1252,564,1,1,6,Gd,235000
OldTown,Wd Sdng,1923,84.0,1200,312,4,1,6,TA,125000
Edwards,Wd Sdng,1924,60.0,1096,0,2,1,6,Fa,79000
NAmes,Wd Sdng,1950,60.0,1040,625,2,1,5,TA,109500
Timber,VinylSd,2009,92.0,1968,680,4,2,8,Ex,269500
Somerst,VinylSd,2004,100.0,1947,678,3,2,7,Ex,254900
Gilbert,VinylSd,2005,134.0,2462,576,4,2,7,Ex,320000
Veenker,Plywood,1984,,1232,516,3,2,6,TA,162500
NridgHt,VinylSd,2003,110.0,2668,726,3,2,9,Ex,412500
NridgHt,VinylSd,2005,95.0,1541,532,3,2,7,Ex,220000
OldTown,MetalSd,1956,55.0,882,0,1,1,4,Ex,103200
OldTown,MetalSd,1926,40.0,1616,216,3,2,6,Gd,152000
Edwards,Wd Sdng,1940,62.0,1355,0,4,2,5,Gd,127500
ClearCr,Wd Sdng,1955,,1867,303,2,1,5,Ex,190000
NridgHt,VinylSd,2007,86.0,2161,789,3,1,8,Ex,325624
Gilbert,VinylSd,2004,62.0,1720,440,3,2,7,Ex,183500
Timber,Plywood,1981,,1707,511,2,2,8,TA,228000
OldTown,MetalSd,1941,,1382,660,2,1,5,TA,128500
NAmes,BrkFace,1960,141.0,1656,528,3,1,6,Fa,215000
StoneBr,HdBoard,1987,44.0,1767,504,2,2,7,Gd,239000
NAmes,WdShing,1961,80.0,1362,504,3,1,6,TA,163000
Timber,VinylSd,1986,47.0,1651,616,3,2,6,TA,184000
Edwards,WdShing,1950,84.0,2158,576,4,2,6,TA,243000
ClearCr,Plywood,1988,97.0,2060,521,4,2,6,TA,211000
Sawyer,MetalSd,1958,,1920,451,4,2,5,Ex,172500
StoneBr,VinylSd,2008,63.0,2234,1166,1,2,9,Ex,501837
OldTown,Wd Sdng,1923,60.0,968,480,2,1,5,TA,100000
Somerst,MetalSd,2000,,1525,440,3,2,6,Ex,177000
Crawfor,Stucco,1920,54.0,1802,216,4,1,7,Gd,200100
Edwards,Wd Sdng,1957,60.0,1340,252,3,1,5,Ex,120000
OldTown,VinylSd,2003,63.0,2082,484,3,2,7,Ex,200000
BrkSide,AsbShng,1908,92.0,1252,576,3,1,5,Gd,127000
OldTown,Wd Sdng,1892,90.0,3608,840,4,2,10,Ex,475000
Mitchel,HdBoard,1990,,1217,497,3,2,7,Ex,173000
OldTown,HdBoard,1916,60.0,1656,180,3,2,5,Ex,135000
SawyerW,Plywood,1979,64.0,1224,528,2,0,5,TA,153337
StoneBr,CemntBd,2001,41.0,1593,682,0,1,8,Ex,286000
Crawfor,BrkFace,1932,70.0,2727,440,3,2,8,TA,315000
NAmes,HdBoard,1972,,1479,484,4,1,7,Gd,184000
CollgCr,VinylSd,1999,68.0,1431,666,3,2,7,Ex,192000
Edwards,VinylSd,2004,24.0,1709,380,3,2,7,Ex,130000
CollgCr,HdBoard,1972,60.0,864,352,3,1,5,TA,127000
NPkVill,Plywood,1976,24.0,1456,440,3,2,6,TA,148500
Somerst,CemntBd,2007,79.0,1726,786,3,2,7,Ex,311872
NAmes,Stucco,1918,174.0,3112,795,4,2,8,Gd,235000
OldTown,Wd Sdng,1912,92.0,2229,0,5,1,6,Ex,104000
NridgHt,VinylSd,2004,76.0,1713,856,3,2,8,Ex,274900
Edwards,VinylSd,2003,80.0,1121,440,2,2,4,Ex,140000
Mitchel,Plywood,1977,75.0,1279,473,3,2,6,TA,171500
OldTown,MetalSd,1924,50.0,1310,398,2,2,6,Gd,112000
CollgCr,VinylSd,2004,,848,420,1,1,6,Ex,149000
OldTown,AsbShng,1947,50.0,1284,240,2,1,5,TA,110000
Gilbert,HdBoard,1990,99.0,1442,500,3,2,7,Ex,180500
Sawyer,HdBoard,1962,40.0,1696,349,3,1,5,TA,143900
NAmes,Wd Sdng,1960,,1100,312,3,1,4,TA,141000
SawyerW,Plywood,1988,,2062,454,3,2,7,Ex,277000
NAmes,HdBoard,1964,75.0,1092,504,3,1,6,Ex,145000
Edwards,Stucco,1925,67.0,864,0,2,1,5,TA,98000
Edwards,VinylSd,2009,83.0,1212,460,3,2,6,Ex,186000
Somerst,VinylSd,2009,72.0,1852,644,3,2,7,Ex,252678
CollgCr,VinylSd,1995,43.0,990,576,3,1,5,Ex,156000
CollgCr,HdBoard,1977,,1392,299,3,1,6,Ex,161750
NAmes,HdBoard,1957,72.0,1236,447,2,1,5,TA,134450
CollgCr,VinylSd,2004,65.0,1436,484,3,2,7,Ex,210000
OldTown,MetalSd,1925,57.0,1328,210,3,1,4,Fa,107000
Crawfor,VinylSd,1939,,1954,431,3,1,7,Ex,311500
Blmngtn,VinylSd,2005,43.0,1248,438,2,2,7,Ex,167240
CollgCr,VinylSd,2006,73.0,1498,675,2,2,7,Ex,204900
Gilbert,VinylSd,2002,,2267,390,4,2,6,Ex,200000
NWAmes,VinylSd,1975,85.0,1552,434,3,2,6,TA,179900
NAmes,HdBoard,1971,70.0,864,576,2,1,4,Gd,97000
NridgHt,VinylSd,2003,103.0,2392,968,3,2,10,Ex,386250
BrDale,HdBoard,1971,21.0,1302,280,3,2,5,TA,112000
NoRidge,VinylSd,1995,82.0,2520,721,4,2,7,Ex,290000
BrDale,HdBoard,1970,21.0,987,280,2,1,6,TA,106000
Sawyer,HdBoard,1967,70.0,912,336,3,1,5,TA,125000
Blmngtn,VinylSd,2005,43.0,1555,430,2,2,7,Ex,192500
NAmes,MetalSd,1959,73.0,1194,312,3,1,6,TA,148000
NoRidge,VinylSd,1995,174.0,2794,810,4,2,8,Ex,403000
BrDale,HdBoard,1972,21.0,987,288,2,1,6,TA,94500
CollgCr,HdBoard,1976,75.0,894,308,3,1,5,TA,128200
Gilbert,VinylSd,2002,,1960,440,4,2,6,Ex,216500
BrDale,HdBoard,1971,21.0,987,264,2,1,6,TA,89500
CollgCr,VinylSd,2004,65.0,1414,494,3,2,7,Ex,185500
SawyerW,HdBoard,1993,,1744,457,3,2,7,Ex,194500
NridgHt,VinylSd,2007,93.0,1694,818,3,2,8,Ex,318000
Edwards,VinylSd,1945,52.0,1487,220,3,1,6,TA,113000
Somerst,VinylSd,2008,75.0,1566,750,3,2,8,Ex,262500
OldTown,VinylSd,1945,40.0,866,0,2,1,5,Gd,110500
OldTown,Wd Sdng,1900,63.0,1440,352,3,1,5,Gd,79000
SawyerW,Plywood,1980,75.0,1217,288,3,1,6,TA,120000
SawyerW,VinylSd,1994,,2110,463,3,2,7,Ex,205000
NWAmes,Wd Sdng,1988,80.0,1872,604,3,2,7,Gd,241500
OldTown,AsbShng,1910,69.0,1928,440,4,2,6,Gd,137000
NAmes,Wd Sdng,1954,75.0,1375,451,2,1,6,Ex,140000
CollgCr,VinylSd,2003,72.0,1668,500,3,2,7,Ex,180000
ClearCr,Wd Sdng,1958,,2144,389,4,2,6,Gd,277000
BrkSide,Wd Sdng,1940,55.0,1306,0,3,1,3,Ex,76500
Crawfor,VinylSd,2006,44.0,1625,538,2,2,8,Ex,235000
SawyerW,VinylSd,2004,65.0,1640,520,3,2,6,Ex,173000
NAmes,HdBoard,1964,85.0,1302,309,3,2,6,Ex,158000
NAmes,MetalSd,1957,70.0,1314,294,3,1,5,TA,145000
Gilbert,VinylSd,1999,66.0,2291,429,4,2,7,Ex,230000
Somerst,VinylSd,2003,64.0,1728,673,3,2,6,Ex,207500
CollgCr,VinylSd,2006,68.0,1604,660,3,2,7,Ex,220000
CollgCr,VinylSd,2001,80.0,1792,564,3,2,7,Ex,231500
OldTown,BrkFace,1956,70.0,882,308,2,1,5,Gd,97000
NAmes,Wd Sdng,1962,120.0,1382,884,3,1,6,TA,176000
CollgCr,CemntBd,2007,69.0,2574,868,3,2,8,Ex,276000
Sawyer,HdBoard,1977,88.0,1212,492,3,1,6,TA,151000
OldTown,Wd Sdng,1929,50.0,1316,484,3,1,5,TA,130000
OldTown,Wd Sdng,1925,30.0,764,504,2,1,5,Gd,73000
NWAmes,MetalSd,1981,78.0,1422,576,3,2,6,TA,175500
Gilbert,VinylSd,1997,70.0,1511,413,3,2,6,Gd,185000
SWISU,Wd Sdng,1939,60.0,2192,240,4,2,5,Ex,179500
IDOTRR,VinylSd,1940,71.0,778,924,2,1,5,Ex,120500
Edwards,HdBoard,1976,,1113,504,3,1,6,TA,148000
Somerst,VinylSd,2006,84.0,1939,1053,3,2,8,Gd,266000
ClearCr,Plywood,1954,73.0,1363,439,2,1,7,Ex,241500
NoRidge,VinylSd,1999,92.0,2270,671,4,2,8,Ex,290000
NAmes,Wd Sdng,1958,80.0,1632,338,3,2,6,Gd,139000
Mitchel,HdBoard,1982,76.0,816,264,2,1,5,TA,124500
BrkSide,Wd Sdng,1925,55.0,1548,672,3,2,7,Gd,205000
Mitchel,VinylSd,2003,129.0,1560,573,3,2,7,Ex,201000
Gilbert,VinylSd,1951,140.0,864,400,2,1,4,Ex,141000
NridgHt,CemntBd,2006,107.0,2121,732,3,2,9,Ex,415298
ClearCr,Plywood,1977,83.0,2022,505,4,2,7,Ex,192000
SawyerW,Plywood,1989,82.0,1982,575,3,2,7,Gd,228500
Somerst,VinylSd,2006,60.0,1262,572,2,2,6,Gd,185000
NridgHt,VinylSd,2007,34.0,1314,626,2,2,7,Ex,207500
Somerst,VinylSd,2008,74.0,1468,898,3,2,8,Ex,244600
SawyerW,Plywood,1992,50.0,1575,529,2,2,6,Gd,179200
Somerst,MetalSd,2006,35.0,1250,528,2,2,7,Ex,164700
NAmes,Wd Sdng,1962,77.0,1734,440,3,1,6,TA,159000
NAmes,HdBoard,1971,,858,0,3,1,4,TA,88000
Sawyer,MetalSd,1967,,900,280,3,1,5,TA,122000
BrkSide,Wd Sdng,1915,60.0,1396,384,3,1,6,Ex,153575
CollgCr,VinylSd,2006,120.0,1919,685,3,2,8,Ex,233230
SWISU,VinylSd,1912,55.0,1716,0,6,2,5,Ex,135900
Edwards,Wd Sdng,1949,60.0,1716,281,3,1,5,Gd,131000
NWAmes,Plywood,1977,,2263,539,3,2,7,Fa,235000
NAmes,HdBoard,1953,80.0,1644,418,3,1,6,TA,167000
Mitchel,HdBoard,1984,37.0,1003,588,3,1,6,TA,142500
IDOTRR,Wd Sdng,1950,75.0,1558,282,4,1,5,TA,152000
Somerst,VinylSd,1997,66.0,1950,576,3,2,7,Ex,239000
NWAmes,HdBoard,1968,90.0,1743,539,3,1,6,Gd,175000
Crawfor,HdBoard,1950,80.0,1152,300,3,1,6,Ex,158500
Crawfor,MetalSd,1953,90.0,1336,375,2,1,5,TA,157000
CollgCr,VinylSd,1998,66.0,2452,683,4,2,8,Ex,267000
CollgCr,VinylSd,2001,118.0,1541,843,3,2,7,Ex,205000
CollgCr,VinylSd,1972,70.0,894,552,3,1,5,TA,149900
OldTown,CemntBd,1880,87.0,3493,870,3,3,7,Ex,295000
CollgCr,CemntBd,2004,80.0,2000,888,3,2,8,Ex,305900
SawyerW,HdBoard,1990,116.0,2243,746,4,2,7,Gd,225000
IDOTRR,MetalSd,1920,,1406,0,3,1,6,TA,89500
Edwards,VinylSd,1940,,861,539,1,1,4,Ex,82500
NridgHt,VinylSd,2003,90.0,1944,708,3,2,9,Ex,360000
Gilbert,HdBoard,1993,,1501,420,3,2,6,Gd,165600
NAmes,VinylSd,1948,50.0,972,240,2,1,6,Ex,132000
OldTown,MetalSd,1939,65.0,1118,410,3,1,5,TA,119900
Timber,BrkFace,1965,150.0,2036,513,3,2,7,TA,375000
OldTown,Wd Sdng,1925,60.0,1641,546,3,1,7,Ex,178000
Gilbert,VinylSd,2004,71.0,1432,432,3,2,7,Ex,188500
NWAmes,CemntBd,1980,94.0,2353,484,4,2,7,TA,260000
Somerst,VinylSd,2006,75.0,1959,1025,3,2,8,Ex,270000
NoRidge,HdBoard,1993,90.0,2646,656,4,2,7,Ex,260000
NWAmes,Plywood,1980,,1472,588,3,2,7,TA,187500
NridgHt,VinylSd,2006,111.0,2596,840,4,3,9,Ex,342643
NridgHt,VinylSd,2004,99.0,2468,872,4,2,8,Ex,354000
SawyerW,Plywood,1986,86.0,2730,576,4,2,7,Ex,301000
OldTown,VinylSd,1955,49.0,1163,220,3,1,3,Ex,126175
NAmes,Wd Sdng,1967,96.0,2978,564,5,2,7,Ex,242000
IDOTRR,MetalSd,1941,50.0,803,360,2,1,5,Po,87000
Veenker,BrkFace,1993,32.0,1719,473,1,1,8,Ex,324000
NAmes,Wd Sdng,1960,80.0,1383,292,3,1,6,TA,145250
BrkSide,Wd Sdng,1916,,2134,441,5,2,6,Gd,214500
IDOTRR,Wd Sdng,1920,60.0,1192,189,3,1,5,TA,78000
NAmes,HdBoard,1964,,1728,352,6,2,5,TA,119000
NAmes,Wd Sdng,1958,70.0,1056,308,3,1,5,Fa,139000
NridgHt,VinylSd,2003,85.0,1629,880,3,2,8,Ex,284000
NridgHt,VinylSd,2004,59.0,1358,484,2,2,7,Ex,207000
Gilbert,VinylSd,1998,59.0,1638,472,3,2,6,Gd,192000
Timber,Plywood,1965,,1786,529,3,2,5,Ex,228950
StoneBr,VinylSd,2005,86.0,1922,676,3,2,9,Ex,377426
CollgCr,VinylSd,2002,70.0,1536,532,3,2,7,Ex,214000
NWAmes,Wd Sdng,1984,91.0,1621,440,3,2,7,Ex,202500
NAmes,Wd Sdng,1958,66.0,1215,297,3,1,6,TA,155000
Timber,VinylSd,2002,85.0,1908,431,4,2,8,Ex,202900
SawyerW,Wd Sdng,1950,60.0,841,294,2,1,4,Gd,82000
NAmes,Stucco,1949,,1040,400,2,2,3,Fa,87500
NridgHt,MetalSd,2005,63.0,1684,564,2,2,9,Ex,266000
MeadowV,CemntBd,1976,36.0,1112,336,3,1,5,TA,85000
BrkSide,MetalSd,1939,65.0,1577,312,3,1,6,Gd,140200
NAmes,MetalSd,1960,,958,301,2,1,6,TA,151500
NAmes,Wd Sdng,1960,,1478,498,3,2,6,Ex,157500
NridgHt,VinylSd,2003,36.0,1626,474,2,2,7,Ex,154000
NridgHt,CemntBd,2005,56.0,2728,706,4,2,9,Ex,437154
NridgHt,MetalSd,2007,68.0,1869,617,2,2,9,Ex,318061
ClearCr,Wd Sdng,1986,,1453,445,2,1,7,Gd,190000
Edwards,VinylSd,1941,60.0,1111,200,3,1,5,TA,95000
OldTown,VinylSd,1928,60.0,720,484,2,1,6,Gd,105900
SWISU,Wd Sdng,1940,60.0,1595,240,2,1,6,Ex,140000
CollgCr,VinylSd,1995,105.0,1200,521,3,2,6,Ex,177500
Gilbert,HdBoard,1992,,1167,400,3,2,6,Gd,173000
MeadowV,CemntBd,1976,44.0,1142,528,3,1,5,TA,134000
ClearCr,Wd Sdng,1958,92.0,1352,288,3,1,5,Ex,130000
NoRidge,VinylSd,1998,78.0,1924,592,3,2,8,Ex,280000
Mitchel,VinylSd,1978,,912,470,2,1,6,Ex,156000
BrkSide,MetalSd,1940,,1505,240,3,1,5,Gd,145000
Edwards,HdBoard,2003,64.0,1922,672,4,3,7,Ex,198500
BrDale,HdBoard,1972,21.0,987,264,2,1,6,Gd,118000
NWAmes,HdBoard,1976,,1574,566,3,2,6,TA,190000
IDOTRR,VinylSd,1920,59.0,1344,468,3,1,5,Gd,147000
NAmes,Plywood,1963,,1394,514,3,1,6,Gd,159000
NAmes,Plywood,1962,101.0,1431,296,3,1,6,Gd,165000
NAmes,HdBoard,1954,78.0,1268,244,2,1,5,Gd,132000
NAmes,Wd Sdng,1959,,1287,576,3,1,5,Ex,162000
Gilbert,VinylSd,2000,,1664,460,3,2,6,Ex,172400
ClearCr,WdShing,1959,80.0,1588,680,4,2,4,TA,134432
SawyerW,Plywood,1984,50.0,752,264,2,1,6,TA,125000
NAmes,MetalSd,1953,79.0,1319,270,3,1,5,TA,123000
CollgCr,VinylSd,2003,65.0,1928,434,4,2,7,Ex,219500
Edwards,Wd Sdng,1922,,904,0,1,0,1,Gd,61000
CollgCr,VinylSd,1996,57.0,914,576,2,1,5,Ex,148000
Somerst,CemntBd,2004,102.0,2466,610,4,3,8,Ex,340000
StoneBr,VinylSd,2010,88.0,1856,834,1,1,9,Ex,394432
Gilbert,VinylSd,2000,60.0,1800,463,3,2,6,Ex,179000
SWISU,BrkFace,1924,50.0,1691,308,3,2,5,TA,127000
Somerst,VinylSd,2006,60.0,1301,572,2,2,7,Ex,187750
CollgCr,VinylSd,2006,79.0,1797,639,3,2,7,Ex,213500
SawyerW,Wd Sdng,1928,60.0,784,360,2,1,6,TA,76000
ClearCr,HdBoard,1992,,1953,501,3,2,6,Ex,240000
Blmngtn,VinylSd,2004,43.0,1269,430,2,2,8,Ex,192000
