HM Claim Recognition Date (yyyy/mm/dd),HM Fiscal Month (yyyy/mm),Model Year,Manufacturing plant code,Manufacturing plant code name,Series Code,Series Name,VIN,Transmission Class(Description),Transmission Type Code,Transmission Serial No.,Failed Part No. (1-5),Reference Parts Name,Replacement Part No. (1-13),Replacement Part Name,Quantity of Replaced Parts,Quantity of Replaced Parts Total,Repair Dealer No.,Local Claim No.,HM Claim No.,Customer Voice,Defect Code,Defect Name,Repair Order Date (yyyy/mm/dd),Production Date (yyyy/mm/dd),Mileage (Mile),Applying Country Code,Applying Country Name,Approved Freight Total Amount (USD),Approved Labor Cost Total Amount (USD),Approved Material Total Amount (USD),Approved Part Total Amount (USD),Approved PLCA Total Amount (USD),Approved Sublet Total Amount (USD),Approved Tax Total Amount (USD),Approved Total Amount (USD),Total FRT,Debit/Credit,Debit/Credit Name,Debit/Credit Reason Description
2016-02-25,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU516002,9AT,Q5LH,79895,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,43,100036,0013893235,201220160220000232,"PARKBREMSFUNKTION IST GEST\RT LAUT KUNDENAUSSAGE IST DIE PARKBREMSFUNKTION NICHT ODER NUR SELTEN BEDIENBAR, DIE NEUTRALSTELLUNG GEHT ERST NACH MEHRMALIGEN VERSUCHEN REIN !FEHLERSPEICHER WURDE AUSGELESEN FEHLER",-----,,2016-01-04,2015-10-12,3024,DEU,Germany,0,539.8,0.0,3814.07,1890.64,0.0,0,6244.5,7.0,1,Regular,
2016-02-25,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504761,9AT,Q5LH,29049,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,1,40001,0013845045,295220160218000084,"DTC. P0714 HAVE ILLUMINATE TWO TIMES. . 22.12.2015 AND 25.01.2016. TESS:  YES PLEASE, REPLACE THE SENSOR UNIT ACCORDING TO MARIS, PLEASE LET US KNOW THE RESULT AFTER REPAIR!    BEST REGARDS  HERBERT STEIGERWALD",-----,,2016-01-25,2015-05-13,6625,EST,Estonia,0,241.91,48.11,1214.86,630.88,0.0,0,2135.78,6.1,1,Regular,
2016-02-25,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU516642,9AT,Q5LH,80010,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,2,112675,0013781073,201220160203000460,BEIM BESCHLEUNIGEN SCHALTET DAS GETRIEBE NICHT RICHTIG UND ES KOMMT ZU EINEM STARKEN BESCHLEUNIGUNGSLOCH DER FEHLER P170A WIRD DANN IM SPEICHER HINTERLEGT NACH R]CKSPRACHE MIT HERRN BROOKS IST EIN GETRIEBETAUSCH BEI WIEDERHOLTEM AUFTRETEN N\TIG,-----,,2016-01-11,2015-10-15,1855,DEU,Germany,0,369.59,0.0,3731.18,1849.55,0.0,0,5950.33,6.1,1,Regular,
2016-02-29,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU515495,9AT,Q5LH,80084,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,113822 1,0013731354,201220160229000189,GETRIEBE IST UNDICHT \LFLECKEN AUF DEM BODEN.,-----,,2015-12-29,2015-10-06,444,DEU,Germany,0,36.62,0.0,28.37,14.06,0.0,0,79.04,0.6,1,Regular,
2016-03-01,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508781,9AT,Q5LH,59827,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,86040,0013884137,239220160216001243,"AUTO ARRIVATA CON CARRO ATTREZZI, SPIA ANOMALIA TRASMISSIONE ACCESA, PERDITA OLIO ATF E IMPOSSIBILE INSERIMENTO MARCE",-----,,2016-02-02,2015-07-16,2500,ITA,Italy,0,232.17,0.0,3655.64,2012.06,59.81,0,5959.69,6.1,1,Regular,
2016-03-16,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU505101,9AT,Q5LH,37172,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,14,119707,0013852427,201220160305000875,BEIM FAHREN/BESCHLEUNIGEN BEI KALTEM MOTOR/GETRIEBE   UNTERHALB 50 KM/H IST EIN SCHALTGER[USCH VOM GETRIEBE ZU VERNEHMEN.  -EIN DEUTLICH WAHRNEHMBARES 'KLACKEN' IST ZU H\REN   -Z[HES SCHALTVERHALTEN IST SP]RBAR   -EIN FEHLERCODE WIRD ABGELEGT,-----,,2016-01-26,2015-05-19,7734,DEU,Germany,0,385.36,142.8,3821.68,1894.4,0.0,0,6244.27,6.8,1,Regular,
2016-03-16,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU510555,9AT,Q5LH,68944,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,20,106142,0013959917,201220160307000458,TESS-ANFRAGE KONTAKT ID: 265233 AUTOMATIKGETRIEBE ERNEUERN,-----,,2016-02-11,2015-08-18,1096,DEU,Germany,0,411.69,29.08,3768.62,1868.11,0.0,0,6077.51,6.5,1,Regular,
2016-03-17,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU509180,9AT,Q5LH,59910,6280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,4,00315,0013807377,247220160317000106,SE TESS 254166,-----,,2016-01-19,2015-07-21,1609,SWE,Sweden,0,372.23,0.0,338.66,153.44,0.0,0,864.34,3.8,1,Regular,
2016-03-22,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU520772,9AT,Q5LH,62528,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR06023,0014029953,20T220160322000802,@ANZUMAN YA] KA[A]I,00504,Premature wear and tear,2016-02-29,2015-12-03,794,TUR,Turkey,0,20.68,233.55,29.79,20.24,0.0,0,304.29,0.6,1,Regular,
2016-03-25,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU519707,9AT,Q5LH,83274,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,855838,0013908145,207220160318000197,VOYANT BVA ALLUME,-----,,2016-02-08,2015-11-23,71,FRA,France,0,402.89,0.0,3750.53,1955.52,0.0,0,6108.95,6.1,1,Regular,
2016-03-30,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850FU508964,9AT,Q5LH,59892,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,25D,25D6032029,25D220160330000055,OIL LEAKAGE,09999,For phenomena other than those stipulated.,2016-03-09,2015-07-17,1,CYP,Cyprus,0,30.5,0.0,30.81,27.73,0.0,0,89.05,0.6,1,Regular,
2016-04-04,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU518751,9AT,Q5LH,86196,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,8,TR06013,0014015277,20T220160330000833,"ARIZA KAYDI OLU@MU@ ARA[ KURTARICI $LE GET$R$LD$.(P2711 BEKLENMED$K MEKAN$K D$@L$ KAVRAMA KESME , P170A [ENEL$ KAVRAMA ANORMAL [ALI@MA) ARA[ KURTARICI $LE SERV$SE GELD$, M""@TER$ @ANZUMAN LAMBASININ YANIP S#ND""]""N"" $FADE ED$YOR.",00401,Distorted,2016-02-08,2015-11-10,1996,TUR,Turkey,0,192.55,0.0,1283.14,872.02,67.77,0,2415.49,5.5,1,Regular,
2016-04-12,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504620,9AT,Q5LH,29268,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,5,TR34043,0014046676,20T220160406000068,@ANZIMAN ARIZALI KALKI@LARDA @ANZIMAN @$DDETL$ V$TES ATIYOR,00401,Distorted,2016-02-29,2015-05-08,2701,TUR,Turkey,0,213.44,0.0,3949.73,2684.24,0.0,0,6847.43,6.1,1,Regular,
2016-04-12,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU515118,9AT,Q5LH,71216,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,TR06023,0014127744,20T220160409000110,@ANZUMAN LAMBASI YANIYOR.,00401,Distorted,2016-02-22,2015-09-30,1326,TUR,Turkey,0,213.44,0.0,3833.95,2605.55,0.0,0,6652.96,6.1,1,Regular,
2016-04-15,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU507181,9AT,Q5LH,54048,6228,"KIT,TRQ/CONV OIL",062285J4000,"KIT,TRQ/CONV OIL",1,4,64390,0013942739,239220160415000519,PERDITA OLIO CAMBIO,-----,,2016-02-10,2015-06-29,12463,ITA,Italy,0,276.57,0.0,103.05,56.72,0.0,0,436.35,6.3,1,Regular,
2016-04-15,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU507181,9AT,Q5LH,54048,6228,"KIT,TRQ/CONV OIL",062295J4000,"KIT,SHAFT SEALING",1,4,64390,0013942739,239220160415000519,PERDITA OLIO CAMBIO,-----,,2016-02-10,2015-06-29,12463,ITA,Italy,0,276.57,0.0,103.05,56.72,0.0,0,436.35,6.3,1,Regular,
2016-04-15,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU507181,9AT,Q5LH,54048,6228,"KIT,TRQ/CONV OIL",062305J4000,"KIT,SHAFT SEALING",1,4,64390,0013942739,239220160415000519,PERDITA OLIO CAMBIO,-----,,2016-02-10,2015-06-29,12463,ITA,Italy,0,276.57,0.0,103.05,56.72,0.0,0,436.35,6.3,1,Regular,
2016-04-20,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU516283,9AT,Q5LH,62372,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,1,623850,0014138972,207220160412000100,"IL SE PRODUIT DES ACCOUPS EN ROULANT EN ACCELERANT OU DESCELERANT , VU ET ESSAYER PAR PASCAL LEMAITRE ACCOUP EN ROUALNT",-----,,2016-03-30,2015-10-13,5998,FRA,France,0,444.71,198.01,3819.03,2036.69,0.0,0,6498.45,6.1,1,Regular,
2016-04-28,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU506497,9AT,Q5LH,42661,6201,"KIT,AT-TRNS",062245LH000,"KIT,OIL COOLER",1,3,BRI492 0,0014186846,202220160428001860,"OIL LEAK FROM UNDER ENGINE.  CHECKED FOR OIL LEAK, LOOKS LIKE FROM GEARBOX AREA.  REMOVED ENGINE UNDER COVER AND WASH OFF ALL OIL AND RAN ENGINE TO LOCATE LEAK.  OIL LEAK COMING FROM THE OIL COOLER.  REPLACE OIL COOLER.",-----,,2016-03-24,2015-06-11,6514,GBR,United Kingdom,0,638.18,0.0,145.53,31.94,0.0,0,815.66,7.2,1,Regular,
2016-05-02,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU506110,9AT,Q5LH,42793,6223,"KIT,SENSOR UNIT",062235LH000,"KIT,SENSOR UNIT",1,2,1020F1,0014250494,290220160502000011,CUSTOMER REPORTS AS TO GEARBOX FAULT LIGHT ON DASH AND JEEP GOING INTO LIMP MODE AS PER TESS REPORTS RENEWED TEMP SENSOR CLUSTER AS PER TESS REPORTS ID 269155,-----,,2016-03-15,2015-06-03,6179,IRL,Ireland,0,625.62,89.01,293.66,166.68,0.0,0,1175.0,8.0,1,Regular,
2016-05-05,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU506181,9AT,Q5LH,43391,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,2,EWE357 0,0014144335,202220160505001527,OIL LEAK FROM TRANSMISSION  TESS NUMBER 271321,-----,,2016-03-23,2015-06-04,10922,GBR,United Kingdom,0,504.17,0.0,3359.2,737.01,0.0,0,4600.38,6.1,1,Regular,
2016-05-07,201605,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU521746,9AT,Q5LH,91990,6280,"UNIT ASSY,TRNS CO",062805LHE11,"UNIT ASSY,TRNS CO",1,1,34,0014167844,21H220160507000064,BRAK MOCY - BRAK REAKCJI NA PEDAL GAZU KOD DTC P061B,-----,,2016-04-06,2015-12-11,3346,POL,Poland,0,63.7,0.0,312.89,105.26,0.0,0,481.86,1.7,1,Regular,
