HM Claim Recognition Date (yyyy/mm/dd),HM Fiscal Month (yyyy/mm),Model Year,Manufacturing plant code,Manufacturing plant code name,Series Code,Series Name,VIN,Transmission Class(Description),Transmission Type Code,Transmission Serial No.,Failed Part No. (1-5),Reference Parts Name,Replacement Part No. (1-13),Replacement Part Name,Quantity of Replaced Parts,Quantity of Replaced Parts Total,Repair Dealer No.,Local Claim No.,HM Claim No.,Customer Voice,Defect Code,Defect Name,Repair Order Date (yyyy/mm/dd),Production Date (yyyy/mm/dd),Mileage (Mile),Applying Country Code,Applying Country Name,Approved Freight Total Amount (USD),Approved Labor Cost Total Amount (USD),Approved Material Total Amount (USD),Approved Part Total Amount (USD),Approved PLCA Total Amount (USD),Approved Sublet Total Amount (USD),Approved Tax Total Amount (USD),Approved Total Amount (USD),Total FRT,Debit/Credit,Debit/Credit Name,Debit/Credit Reason Description
2015-10-26,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6780FU514635,6MT,SLGM,1006017,20011,"BARE,TRNS ASSY",200115LGF00,"BARE,TRNS ASSY",1,1,0098,0013521940,250220151026000009,NIET MOGELIJK TE SCHAKELEN VAN 3E NAAR 2E VERSNELLING.  ZIE TESS RAPPORT.,-----,,2015-10-20,2015-09-28,16,BEL,Belgium,0,423.05,15.42,1721.34,959.64,33.04,0,3152.51,8.0,1,Regular,
2015-11-02,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU510681,9AT,Q5LH,0063869,06201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,1,08015,0013505476,293220151029000052,"TESTIGO AVERIA MOTOR ACTIVADO Y TRANSMISION AUTOMATICA NO RESPONDE A ACCIONES SI SE PARA EN NEUTRO. EXISTE CONSULTA VIA TESS CON JAVIER AGUILERA ID 248989.27/10 (MM) SIGUIENDO INSTRUCCIONES MIGUEL ANGEL AGUILERA,SEGUN CONVERSACION CON DAVID, INCREMENTADO TARIFARIO DE TIEMPOS INVERTIDO EN DIAGNOSIS, PRUEBAS Y DESMONJE DE PIEZAS DE OTRO VEHICULO.",-----,,2015-09-23,2015-08-19,3,ESP,Spain,0,749.3,0.0,3705.91,1902.61,0.0,0,6357.83,12.8,1,Regular,
2015-11-13,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508613,9AT,Q5LH,0054075,06235,"KIT,AWD SHAFT SEA",062355L9000,"KIT,AWD SHAFT SEA",1,1,105076,0013527037,201220151113000378,\LVERLUST AUTOMATIKGETRIEBE,-----,,2015-10-15,2015-07-14,3939,DEU,Germany,0,153.97,36.74,14.84,7.35,0.0,0,212.91,1.9,1,Regular,
2015-11-14,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504621,9AT,Q5LH,0029259,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR61033,0013454866,20T220151114000123,"M""@TER$ BEYANINA G#RE ARACIN ALT KISMINDA YA] VAR. YAPILAN INCELEMEDE @ANZIMAN DI@ KAPAK KITININ YA] KA[IRDI]I TESPIT EDILMI@TIR",00401,Distorted,2015-08-14,2015-05-08,403,TUR,Turkey,0,19.89,0.0,28.64,19.46,0.0,0,68.0,0.6,1,Regular,
2015-11-20,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6770FU503725,6MT,SLGM,1003701,20011,"BARE,TRNS ASSY",200115LGF00,"BARE,TRNS ASSY",1,8,BAR357 0,0013544424,202220151120002576,UNABLE TO SELECT GEAR AT ALL -  VEHICLE HAD TO BE RECOVERED IN,-----,,2015-11-04,2015-04-15,7539,GBR,United Kingdom,0,530.42,0.0,2546.76,530.21,0.0,0,3607.4,5.6,1,Regular,
2015-11-20,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504910,9AT,Q5LH,0028977,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,2,106055,0013455958,201220151120000361,"STARKER GETRIEBEOELVERLUST AM SEITLICHEN AUTOMATIKGETRIEBEDECKEL SCHRAUBEN SIND FEST BESCHAEDIEGUNG NICHT ERKENNBAR DECK A+E ERNEUERN. STARKER OELVERLUST. TEILENR.: F]R DAS OEL KANN NICHT EINGEGEBEN WERDEN, DARUM HABEN WIR DEN BETRAG MANUELL EINGEGEBEN. MFG CONTI",09999,For phenomena other than those stipulated.,2015-09-14,2015-05-15,3061,DEU,Germany,0,72.01,0.0,55.02,27.27,0.0,0,154.3,1.2,1,Regular,
2015-12-15,201512,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508380,9AT,Q5LH,0055551,06222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,1,10005,0013418214,26N220151201000195,"FEILS?KT, FUNNET DEFEKT HYDRAULIKK CONTROLL UNIT.  M? SKIFTES. GIRKASSE HAR L?ST SEG, GIKK I FRI, F?R IKKE SATT I GIR. MOTORLAMPE LYSER, STOPPER OG STARTER S? ST?R GIRET I PARK",06601,Poor/no electrical contact,2015-08-13,2015-07-13,167,NOR,Norway,0,2045.49,314.48,1199.25,446.95,0.0,0,4006.19,19.3,1,Regular,
2016-01-02,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU516255,9AT,Q5LH,0080212,06222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,2,26130,0013666782,239220160102000148,"IL CLIENTE LAMENTA FUNZIONE P NON FUNZIONANTE   NS TESS 256060 IL PULSANTE P POSTO IN PROSSIMIT? DELLA LEVA DEL CAMBIO AUTOMATICO NON FUNZIONA IN RAGIONE DI CI? SUL DISPLAY APPARE LA SPIA AMBRA DEL FRENO DI PARCHEGGIO E RIMANE ACCESA, INOLTRE LAMPEGGIA LA SPIA CON LA SCRITTA ?D? RELATIVA AL CAMBIO AUTOMATICO.",03214,Erroneous operation,2015-12-10,2015-10-13,105,ITA,Italy,0,276.4,0.0,1205.26,663.38,260.57,0,2405.63,5.5,1,Regular,
2016-01-19,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850FU511799,9AT,Q5LH,0066080,06280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,1,EWG102 0,0013699843,202220160119002644,MIL ON DASH AND DIFFICULTY SELECTING DRIVE. SEE TESS TRACK 258874,-----,,2015-12-16,2015-08-28,711,GBR,United Kingdom,0,138.16,0.0,250.74,52.2,0.0,0,441.1,1.7,1,Regular,
2016-01-19,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU509180,9AT,Q5LH,0059910,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,00315,0013630248,247220160102000172,FEL P? V?XELL?DA SE TICKET 254166,-----,,2015-12-02,2015-07-21,1194,SWE,Sweden,0,941.64,0.0,3708.15,1680.15,0.0,0,6329.95,10.0,1,Regular,
2016-01-19,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504757,9AT,Q5LH,0029104,06201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,1,114952,0013722541,201220160106000039,"PROBEFAHRT UND FEHLERSUCHE, S[MTLICHE VERSCHRAUBUNGEN AN DER VA GEPR]FT, KARDANWELLE AUF SPIEL GEPR]FT, TESS ANFRAGE AN HONDA, FREIGABE F]R ERNEUERUNG DES AT GETRIEBES UND WANDLER AM 21.12.2015 ERHALTEN LAUTE KOMISCHE GER[USCHE BEIM FAHREN, SCHALTEN DES AT GETRIEBES",09999,For phenomena other than those stipulated.,2015-12-23,2015-05-13,10197,DEU,Germany,0,530.98,97.93,3657.7,1813.12,0.0,0,6099.74,6.1,1,Regular,
2016-01-22,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU508268,9AT,Q5LH,0054067,06224,"KIT,OIL COOLER",062245LH000,"KIT,OIL COOLER",1,3,52,0013736731,21H220160122000204,PODCZAS PRZEGLADU WYKRYTO WYCIEK OLEJU ZE SKRZYNI BIEG?W. KLIENTOWI ZOSTA?O WYDANE AUTO ZASTEPCZE.ZDJ?CIA.,-----,,2016-01-04,2015-07-10,7388,POL,Poland,0,32.29,254.23,106.65,35.34,0.0,0,428.51,1.1,1,Regular,
2016-01-25,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU506823,9AT,Q5LH,0046387,06280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,1,102027,0013790794,201220160125000126,"GETRIEBE SCHALTET NICHT, MOTORKONTROLLLEUCHTE BRENNT.",-----,,2016-01-13,2015-06-18,7923,DEU,Germany,0,133.36,0.0,282.96,140.25,0.0,0,556.58,1.9,1,Regular,
2016-01-27,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504365,9AT,Q5LH,0027799,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR01013,0013613670,20T220160127000175,SHSRE6880FU513377 @ASE NOLU ARACA $ST$NADEN @ANZUMAN KISMINDAN YA] KA[A]I VAR,00401,Distorted,2015-11-19,2015-05-01,2695,TUR,Turkey,0,19.97,0.0,28.76,19.55,0.0,0,68.29,0.6,1,Regular,
2016-01-27,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508624,9AT,Q5LH,0057535,06235,"KIT,AWD SHAFT SEA",062355L9000,"KIT,AWD SHAFT SEA",1,5,54,0013770312,21H220160127000243,WYCIEK OLEJU ZE SKRZYNI BIEGOW,-----,,2016-01-11,2015-07-14,11469,POL,Poland,0,67.96,0.0,111.02,36.79,0.0,0,215.77,1.9,1,Regular,
2016-01-28,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU518736,9AT,Q5LH,0083272,06224,"KIT,OIL COOLER",062245LH000,"KIT,OIL COOLER",1,5,107493,0013837479,201220160128000520,GETRIEBE\LVERLUST AM \LW[RMER,-----,,2016-01-25,2015-11-10,1344,DEU,Germany,0,70.12,0.0,188.99,93.67,0.0,0,352.79,1.1,1,Regular,
2016-02-09,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU504784,9AT,Q5LH,0029238,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,198067,0013742064,21S220160128000237,OLAJFOLY?S,-----,,2015-12-18,2015-05-14,4318,HUN,Hungary,0,200.34,437.88,3746.29,1478.28,0.0,0,5862.81,6.5,1,Regular,
2016-02-09,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508622,9AT,Q5LH,0057539,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,37,107976,0013825817,201220160130000067,"TESS ANFRAGE 262040. LT HR BOOKS, GETRIEBE ERNEUERN BRUMMENDES / SCHLEIFENDES GER[USCH BEI CA 1500- 1800 U/MIN NACH CA 10 MIN FAHRT",-----,,2016-01-14,2015-07-14,7785,DEU,Germany,0,627.72,5.78,3945.06,1955.58,0.0,0,6534.16,7.0,1,Regular,
2016-02-25,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU515973,9AT,Q5LH,0080015,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,19,20546,0013773766,24N220160204000012,AUTOMAATTIVAIHTEISTON OHJAILAITTEEELLA JATKUVANA VIKAKOODINA: P170A SAKARAKYTKIMEN EP?NORMAALI TOIMINTA. MAAHANTUONNIN OHJE: TARKASTAKAA AUTOMAATTIVAIHTEISTO ?LJYM??R?. -VAIHTEISTO VAIHTAA HITAASTI AJOSUUNTAA VAIHDETTAESSA.  SEK? OHITUSTILANTEESSA SAA ODOTTAA USEITA SEKUNTEJA ETT? AUTO L?HTEE KIIHTYM??N.,03214,Erroneous operation,2015-12-09,2015-10-08,383,FIN,Finland,0,610.74,0.0,3759.82,1344.89,0.0,0,5715.46,8.4,1,Regular,
2016-02-25,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU516002,9AT,Q5LH,0079895,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,43,100036,0013893235,201220160220000232,"PARKBREMSFUNKTION IST GEST\RT LAUT KUNDENAUSSAGE IST DIE PARKBREMSFUNKTION NICHT ODER NUR SELTEN BEDIENBAR, DIE NEUTRALSTELLUNG GEHT ERST NACH MEHRMALIGEN VERSUCHEN REIN !FEHLERSPEICHER WURDE AUSGELESEN FEHLER",-----,,2016-01-04,2015-10-12,3024,DEU,Germany,0,539.8,0.0,3814.07,1890.64,0.0,0,6244.5,7.0,1,Regular,
2016-02-25,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504761,9AT,Q5LH,0029049,06222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,1,40001,0013845045,295220160218000084,"DTC. P0714 HAVE ILLUMINATE TWO TIMES. . 22.12.2015 AND 25.01.2016. TESS:  YES PLEASE, REPLACE THE SENSOR UNIT ACCORDING TO MARIS, PLEASE LET US KNOW THE RESULT AFTER REPAIR!    BEST REGARDS  HERBERT STEIGERWALD",-----,,2016-01-25,2015-05-13,6625,EST,Estonia,0,241.91,48.11,1214.86,630.88,0.0,0,2135.78,6.1,1,Regular,
2016-02-25,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU516642,9AT,Q5LH,0080010,06201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,2,112675,0013781073,201220160203000460,BEIM BESCHLEUNIGEN SCHALTET DAS GETRIEBE NICHT RICHTIG UND ES KOMMT ZU EINEM STARKEN BESCHLEUNIGUNGSLOCH DER FEHLER P170A WIRD DANN IM SPEICHER HINTERLEGT NACH R]CKSPRACHE MIT HERRN BROOKS IST EIN GETRIEBETAUSCH BEI WIEDERHOLTEM AUFTRETEN N\TIG,-----,,2016-01-11,2015-10-15,1855,DEU,Germany,0,369.59,0.0,3731.18,1849.55,0.0,0,5950.33,6.1,1,Regular,
2016-02-29,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU515495,9AT,Q5LH,0080084,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,113822 1,0013731354,201220160229000189,GETRIEBE IST UNDICHT \LFLECKEN AUF DEM BODEN.,-----,,2015-12-29,2015-10-06,444,DEU,Germany,0,36.62,0.0,28.37,14.06,0.0,0,79.04,0.6,1,Regular,
2016-03-01,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508781,9AT,Q5LH,0059827,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,86040,0013884137,239220160216001243,"AUTO ARRIVATA CON CARRO ATTREZZI, SPIA ANOMALIA TRASMISSIONE ACCESA, PERDITA OLIO ATF E IMPOSSIBILE INSERIMENTO MARCE",-----,,2016-02-02,2015-07-16,2500,ITA,Italy,0,232.17,0.0,3655.64,2012.06,59.81,0,5959.69,6.1,1,Regular,
2016-03-16,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU505101,9AT,Q5LH,0037172,06201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,14,119707,0013852427,201220160305000875,BEIM FAHREN/BESCHLEUNIGEN BEI KALTEM MOTOR/GETRIEBE   UNTERHALB 50 KM/H IST EIN SCHALTGER[USCH VOM GETRIEBE ZU VERNEHMEN.  -EIN DEUTLICH WAHRNEHMBARES 'KLACKEN' IST ZU H\REN   -Z[HES SCHALTVERHALTEN IST SP]RBAR   -EIN FEHLERCODE WIRD ABGELEGT,-----,,2016-01-26,2015-05-19,7734,DEU,Germany,0,385.36,142.8,3821.68,1894.4,0.0,0,6244.27,6.8,1,Regular,
2016-03-16,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU510555,9AT,Q5LH,0068944,06201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,20,106142,0013959917,201220160307000458,TESS-ANFRAGE KONTAKT ID: 265233 AUTOMATIKGETRIEBE ERNEUERN,-----,,2016-02-11,2015-08-18,1096,DEU,Germany,0,411.69,29.08,3768.62,1868.11,0.0,0,6077.51,6.5,1,Regular,
2016-03-17,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU509180,9AT,Q5LH,0059910,06280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,4,00315,0013807377,247220160317000106,SE TESS 254166,-----,,2016-01-19,2015-07-21,1609,SWE,Sweden,0,372.23,0.0,338.66,153.44,0.0,0,864.34,3.8,1,Regular,
2016-03-22,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU520772,9AT,Q5LH,0062528,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR06023,0014029953,20T220160322000802,@ANZUMAN YA] KA[A]I,00504,Premature wear and tear,2016-02-29,2015-12-03,794,TUR,Turkey,0,20.68,233.55,29.79,20.24,0.0,0,304.29,0.6,1,Regular,
2016-03-25,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU519707,9AT,Q5LH,0083274,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,855838,0013908145,207220160318000197,VOYANT BVA ALLUME,-----,,2016-02-08,2015-11-23,71,FRA,France,0,402.89,0.0,3750.53,1955.52,0.0,0,6108.95,6.1,1,Regular,
2016-03-30,201603,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850FU508964,9AT,Q5LH,0059892,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,25D,25D6032029,25D220160330000055,OIL LEAKAGE,09999,For phenomena other than those stipulated.,2016-03-09,2015-07-17,1,CYP,Cyprus,0,30.5,0.0,30.81,27.73,0.0,0,89.05,0.6,1,Regular,
2016-04-04,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU518751,9AT,Q5LH,0086196,06222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,8,TR06013,0014015277,20T220160330000833,"ARIZA KAYDI OLU@MU@ ARA[ KURTARICI $LE GET$R$LD$.(P2711 BEKLENMED$K MEKAN$K D$@L$ KAVRAMA KESME , P170A [ENEL$ KAVRAMA ANORMAL [ALI@MA) ARA[ KURTARICI $LE SERV$SE GELD$, M""@TER$ @ANZUMAN LAMBASININ YANIP S#ND""]""N"" $FADE ED$YOR.",00401,Distorted,2016-02-08,2015-11-10,1996,TUR,Turkey,0,192.55,0.0,1283.14,872.02,67.77,0,2415.49,5.5,1,Regular,
2016-04-08,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6740FU214727,6MT,ER7Z,1214742,20011,"BARE,TRNS ASSY",20011R7ZX40,"BARE,TRNS ASSY",1,1,03004  1,0014116380,293220160408000220,RUIDO AL CIRCULAR A PARTIR DE 100KM/H.RUIDO PROVIENE DEL INTERIOR DE LA CAJA DE CAMBIOS.SUSTITUIR CAJA DE CAMBIOS.,-----,,2016-03-21,2016-02-10,192,ESP,Spain,0,266.16,22.75,1400.72,733.97,45.49,0,2469.1,5.0,1,Regular,
2016-04-12,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504620,9AT,Q5LH,0029268,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,5,TR34043,0014046676,20T220160406000068,@ANZIMAN ARIZALI KALKI@LARDA @ANZIMAN @$DDETL$ V$TES ATIYOR,00401,Distorted,2016-02-29,2015-05-08,2701,TUR,Turkey,0,213.44,0.0,3949.73,2684.24,0.0,0,6847.43,6.1,1,Regular,
2016-04-12,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU515118,9AT,Q5LH,0071216,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,TR06023,0014127744,20T220160409000110,@ANZUMAN LAMBASI YANIYOR.,00401,Distorted,2016-02-22,2015-09-30,1326,TUR,Turkey,0,213.44,0.0,3833.95,2605.55,0.0,0,6652.96,6.1,1,Regular,
2016-04-15,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU507181,9AT,Q5LH,0054048,06228,"KIT,TRQ/CONV OIL",062285J4000,"KIT,TRQ/CONV OIL",1,4,64390,0013942739,239220160415000519,PERDITA OLIO CAMBIO,-----,,2016-02-10,2015-06-29,12463,ITA,Italy,0,276.57,0.0,103.05,56.72,0.0,0,436.35,6.3,1,Regular,
2016-04-15,201604,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU507181,9AT,Q5LH,0054048,06228,"KIT,TRQ/CONV OIL",062295J4000,"KIT,SHAFT SEALING",1,4,64390,0013942739,239220160415000519,PERDITA OLIO CAMBIO,-----,,2016-02-10,2015-06-29,12463,ITA,Italy,0,276.57,0.0,103.05,56.72,0.0,0,436.35,6.3,1,Regular,
