ID,Review
114,I was very impressed with the service I recieved from  Staff.They explained my Policy which helped me to fully understand what I was paying for.Iam happy now I have what I needed at a fair price.Thank you
115,Easy intuitive online experience. Took 10 minutes. excellent value.
116,Fast easy and excellent value .The person I spoke to on the phone was both informative and efficient.
117,I found thet  were very helpful inmy claim did not hesitate in fullfilling my claim for a lost diamond from a gold ring
118,A great overall experience. It is has been very easy to navigate around the site and compare different levels of cover. And at a very competitive price also!!
119,why did i go for  simple they provided a good cover for bikes at a reasonable cost other companys had a low fixed cover - end of story with  you can chose the level for your most expensive bike we talked through the ifs and buts with the  rep. obiviously the usual due care to be taken but we are very happy with our cover. If like me finding good low cost cover for your pedals has been a big issue get a quotecheck out their policy wording and talk to the company about your needs to get reassured you really are covered at such a reasonable cost :)
120,Very helpful staff and good customer service. The issues were resolved very quickly.
121,It was so easy to arrange and when I had to call to get things changed for me - the call centre were helpful and chatty - a real pleasure to deal with. The price was GREAT too.
122,Cheapestand best cover value for value that ive been quoted for this year.
123,Phoned up for family landlords buildings insurance. Very professionally spoken to and found the cover very generous for the premium paid. Im looking forward to getting quotes off  when my policies held elsewhere are due for renewal as I now qualify for a discount.
124,A very traumatic time for myself and my family made a lot better by great customer service from my personnel claims manager very I pressed
125, provided an excellent timely and efficient claims service following the recent February storms. Following damage to our roof with a builders report photographs and a fair budget we were able to proceed and get the work done. We received payment within the week. Really good service thank you.
126,"Easy online form to fill in
Excellent online customer service Excellent customer service on the phone - value for money quite which I accepted - thank you-----"
127,The  experience was unexpectedly speedy smooth understanding and caring. Our break-in occurred whilst we were already with a family bereavement  made the whole hurtful experience a lot less painful. Memories cannot be replaced but  provided the sugar to take the medicine.
128,Friendly and professional service very helpful and polite.
129,A very simple and easy way to take out a policy at a good price
130,Price was great customer service was great made you feel at ease right from the start
131,Claim process was handled in a professional manner from start to finish. Valuation was fair although choice of jewellers available to source replacement was very limited. I was kept informed through each step of the process although my correspondence with  was not always acknowledged.
132,"Our claim was handled courteously and promptly. Arrangements were made quickly to have our back door made secure after being quite severely damaged during the break in.
We were kept informed of the progress of our claim and in fact an offer was made in just 7 days."
133,Left  last year as had another quote - much cheaper but this year other quote had doubled to much more than  quoted me so went back to 
134,I WAS VERY PLEASED WITH THE ATTENTION OF THE PERSON IN THE CALL CENTRE THERE WAS A QUESTION I NEEDED TO ASK A REAL PERSON AFTER GETTING AN INITIAL QUOTE ON THE INTERNET. ALL WAS EXPLAINED IN SIMPLE CLEAR LANGUAGE WITHOUT LEAVING A FEELING OF NOT GETTING GOOD ADVICE. THERE WASNT A GREAT DEAL OF DIFFERENCE IN MY QUOTES BUT THE QUALITY OF COVER WAS FAR BETTER AND PRESENTED IN A CLEARER WAY.
135,Got a phone call from them saying you have car insurance with us can we quote yo on your house and contents I said yes and was very very please with the price for what they offered me.i said yes straight a way
136,Wind damage to roof. Rang and was told to organise repair and submit bill. Easy peasy (not sure what would have happened had we not had �900 to pay roofing firm presumably they would have had to wait for  to pay them).
137,I carried out my annual review of suppliers and found that  was the most cost effective (i do not mean the cheapest) and decided to go with them. The price however was very competitive and the process was easy online.
138,very good customer service  I appreciated the concern and prompt attention your telephone operators gave me and the prompt return to my e maill enquries. I would have no hestiation in recommending  to anyone. My experience from start to finish was excellent Obviously I was in great distress over the damage caused by the storm and cannot speak highly enough of the attention the staff at  gave me
139,Went onto one of the price comparison websites to get a quote for buildings and contents insurance and was fairly pleased with the results but the best quotes were from lesser known companies and the cover was not as comprehensive as I would have liked. My daughter recommended  so I applied online and was very pleased with the ease of the application and the fact that I didnt have to fill in pages of information before getting the quote which was very reasonable. A customer services representative followed up with a phone call to check that I was happy with the quote.
140,The service was dreadful from start to finish. After waiting several weeks for a response regarding a broken toilet I complained and was then fobbed off with an offer of money which is not what we wanted. We then managed to find a plumber ourselves who fixed the toilet for a fraction of the amount offered. Company was not interested in helping us so we feel like weve paid for nothing. Will not be renewing our policy or recommending  to anyone else.
141,"After obtaining a quote on the internet I had plenty of time to think it over and compare before making up my mind.
A courtesy call from  sealed the deal"
142,Staff at  were understanding and sympathetic when dealing with our claim relating to a burglary. The staff were calm non-judgemental and fortunately were able to replace the equipment taken from the premises. I cannot praise them enough as it really is a traumatic experience to discover somebody has invaded your privacy and stolen your equipment. I would certainly recommend them as a company and a big thank-you to their staff on the front line.
143,The initial contact and service was good but the follow-up needs improvement as I did not receive the information i requested. I had to chase and was told that the information had been missed off or forgotten from the quote.
144,Excellent price and service from this company will change all of my other insurances as they become due. Prompt with quote and paperwork as promised thank you.
145,Great handling of claim however very disappointed at excessive increase in renewal premium in view of relatively small non accidental claim (storm). First claim ever!
146, was the only insurance provider that was easy to obtain a quote from and provided all the extras for a much lower price than any company on a comparison site. Would highly recommend.
147,Quick and good service in buying insurance good to have discount for having more than one policy.
148,I have found the  website extremely easy and convenient to use when getting a quote. I already have car insurance and therefore got a good quote for hone & contents. Would definitely recommend.
149,"After telephoning to report water damage after a storm I had to phone to remind the surveyor to get in touch with me. This could be improved.
After the survey I had to phone again to get the report. He wanted us to accept the offer before we had a chance to get quotes for the work.
This needs to be improved.
Everyone we spoke to was very polite and helpful. Well done."
150,It was useful to be able to input different scenario to select amount of cover needed and to save quotes to make a comparison before deciding on level I wanted. I found them competitive and cheaper for similar cover compared with the existing cover I already had. It was useful to be able to speak to an adviser on the phone when I needed to clarify a point.
151,The winter storms caused damage destroying my greenhouse and collapsing a garden wall. My claim was dealt with speedily with an instant off to cover both items. When I had submitted the invoices for the replacement greenhouse and the rebuilding of the wall they were met without any problem and cheques despatched. My conversations on the telephone were dealt with civily and with no hassle.
152,We had a leaking roof which came through into our living room due to the floods we experience earlier on this year.  were brilliant it was easy and not stressful in the slightest. Customer Services were friendly and were keen to sort out the claim without any hiccups. With 2 Daughters in the home it was a relief to know  were on the ball and as keen as us to sort the problem. It didnt take long to receive the money in my account either so we are very pleased with the service and will stay with them when we renew our home insurance in June this year. Thanks .
153,I was very impressed by the helpfulness of the operator. Also he showed great patience! In addition it did not feel as though he was trying to get the best deal for  rather the best deal for me.
154,I recently bought multiple car insurance with  and because I had my pension personal accident and car insurance I got a great deal on my home insurance so the moral is go direct and choose  for all your insurance needs I did and I saved lots of money.
155,bike stolen in portugal no problems s with claim easy to sort out down side voucher for halfords  restricted whwere i could replace bike from
156,a good all around home and contents insurance delivered by a really helpful service and nothing was too trouble and the price was very good indeed
157,Very easy process. Excellent Price. Highly Recommend A++++
158, charged me insurance based on my old property for 12 years! An excellent agent sorted it out for me.
159,Ridge tiles blew of in very high winds in February 2014 the weather was still very wet and windy so I was worried that the claims process would take a long time and further damage may occur. I rang for advise the next day and got through fairly quickly consider the high amount od flood damage due to the storms. the advise was constructive helpful and allowed me to quickly get a builders quote and schedule the work for as soon as possible when the weather subsided. The claim payment was equally painless. Thank you and well done .
160,I tried to do all the paperwork via the internet but failed the site refused my card. When I did it all over the phone I had no problems. The cost is above what I thought it would be.
161,Would recommend for value and excellent service throughout
162,"Easy access to guidance and support throughout the whole procedure and all the way to the closure of my claim.
There was no negative time during  dealing with my claim."
163,"Good value and a promise of M & S vouchers together with a good discount for being an existing user of other  services induced me to get home and contents insurance from you.
Although it is almost 2 weeks since I took the cover out I am still awaiting the M & S vouchers !"
164,Good value saved a fortune from current company for same cover
165,Great customer service and got a Good deal! IWould recommend them
166,Excellent value and good customer service calls answered quickly and politely
167,I phoned about roof repairs due to recent weather at which point i was told \under �1500 just get it fixed\ no arguments no visits just a simple and easy repair money was paid direct to my account within days customer service was outstanding and the personal claims manager was a nice touch with all contact details included inc phoneemail direct ext numbers for any queries a truly professional serviceThanks ..no more leaky roof
168,"I recently switched insurers to  after a few years of watching my current policy start to climb in fiscal terms with no changes to my details like a lot of people I always thought change would be a hassle and would I get the same level of coverage and lose no claims and the like
I couldnt have been more wrong the team at  were great! and they walked me through every item and allowed me time to check agains the existing insurers so nothing was left unexamined. the switch was painless and saved me money on current arrangements.
i have now all homes and contents and multi car insurance also- and peice of mind and some change in my wallet I commend them to you1."
169,Great website so easy to refine my quote and get exactly what I wanted.
170,I found  very responsivecaringeasy on line service attentive and most of all reasonable.
171,The girl on the telephone explained everything very clearly didnt ramble on like a lot do at other companies. And of course the premium was very reasonable a swell
172,Easy to access and gain a quote helpful telephone service as backup and to talk if required all in all pleased
173,Efficient polite and very helpful with questions needed to ask on telephone. Highly recommend this product.
174,The whole process was really easy and resolved quickly
175,I was expecting some problems when I logged on the  website but was delighted with the ease of answering the questions posed. I was also very happy with the quoted price and the cover the policy gave me.
176,Had an expensive lens drop off a monopod.  had it sent to a very reputable photographic repair company to see whether it was repairable. The damage was not enough to render the lens irreparable so it was repaired and is now in perfect working order.
177,Not to sure about the choice of contractor workmanship not brilliant.  customer services excellent
178,nothing to say other than brilliant cover and easy to take out
179,compared the cover with my existing insurer and achieved a greater level of cover with a significant saving in my annual premium.
180,I found it very easy to fill in the form on line  but got stuck at the end .I then just rang the number they gave and finished off on the phone What I liked is you only pay for what YOU think is relevant to you Well done 
181,It was a straightforward experience completing the online form and obtaining the quote and thereafter clarifying any queries over the phone with a view to commencing the policy.
182,Good price and quick service together with helpful staff.Obtained a discount by having car insured also by 
